id,competencia,descripcion,dimension_id,categoria,nivel_complejidad
1,Resolución de problemas matemáticos,Capacidad para resolver problemas complejos usando razonamiento matemático,1,Matemáticas,Alto
2,Análisis algebraico,Habilidad para manipular y resolver ecuaciones algebraicas,1,Matemáticas,Medio
3,Geometría espacial,Comprensión de relaciones espaciales y formas geométricas,1,Matemáticas,Medio
4,Estadística descriptiva,Análisis e interpretación de datos estadísticos,1,Matemáticas,Medio
5,Cálculo diferencial,Aplicación de conceptos de derivadas e integrales,1,Matemáticas,Alto
6,Lógica proposicional,Razonamiento usando proposiciones lógicas,1,Lógica,Alto
7,Razonamiento deductivo,Capacidad de llegar a conclusiones específicas desde premisas generales,1,Lógica,Alto
8,Razonamiento inductivo,Habilidad para generalizar patrones desde casos específicos,1,Lógica,Alto
9,Pensamiento analítico,Descomposición de problemas complejos en partes manejables,1,Análisis,Alto
10,Reconocimiento de patrones,Identificación de regularidades en datos o situaciones,1,Análisis,Medio
11,Comprensión lectora avanzada,Interpretación profunda de textos complejos,2,Lectura,Alto
12,Análisis textual,Evaluación crítica de argumentos y estructura textual,2,Lectura,Alto
13,Síntesis de información,Combinación coherente de múltiples fuentes de información,2,Lectura,Alto
14,Vocabulario técnico,Dominio de terminología especializada,2,Vocabulario,Medio
15,Comprensión contextual,Interpretación de significados según el contexto,2,Comprensión,Medio
16,Escritura argumentativa,Construcción de argumentos sólidos por escrito,2,Escritura,Alto
17,Redacción técnica,Comunicación clara de información especializada,2,Escritura,Alto
18,Comunicación oral efectiva,Transmisión clara de ideas de forma verbal,2,Comunicación,Alto
19,Presentación pública,Habilidad para presentar ante audiencias,2,Comunicación,Alto
20,Escucha activa,Comprensión profunda de mensajes verbales y no verbales,2,Comunicación,Medio
21,Método científico,Aplicación sistemática del proceso de investigación,3,Investigación,Alto
22,Diseño experimental,Planificación de experimentos controlados,3,Investigación,Alto
23,Análisis de datos científicos,Interpretación de resultados experimentales,3,Investigación,Alto
24,Formulación de hipótesis,Creación de predicciones testables,3,Investigación,Medio
25,Observación sistemática,Registro detallado y objetivo de fenómenos,3,Investigación,Medio
26,Química orgánica,Comprensión de compuestos basados en carbono,3,Química,Alto
27,Física mecánica,Análisis de movimiento y fuerzas,3,Física,Alto
28,Biología molecular,Estudio de procesos biológicos a nivel molecular,3,Biología,Alto
29,Ecología sistémica,Comprensión de ecosistemas y sus interacciones,3,Biología,Alto
30,Astronomía básica,Conocimiento de cuerpos celestes y fenómenos espaciales,3,Astronomía,Medio
31,Historia contemporánea,Análisis de eventos históricos recientes,4,Historia,Medio
32,Geografía política,Comprensión de fronteras y sistemas políticos,4,Geografía,Medio
33,Economía básica,Principios fundamentales de sistemas económicos,4,Economía,Medio
34,Sociología urbana,Análisis de dinámicas sociales en ciudades,4,Sociología,Alto
35,Antropología cultural,Estudio de diversidad cultural humana,4,Antropología,Alto
36,Filosofía ética,Análisis de principios morales y éticos,4,Filosofía,Alto
37,Ciencias políticas,Comprensión de sistemas y procesos políticos,4,Política,Alto
38,Psicología social,Estudio del comportamiento en grupos,4,Psicología,Alto
39,Derecho constitucional,Conocimiento de principios legales fundamentales,4,Derecho,Alto
40,Relaciones internacionales,Análisis de dinámicas entre países,4,Relaciones,Alto
41,Pensamiento divergente,Generación de múltiples soluciones creativas,5,Creatividad,Alto
42,Innovación tecnológica,Desarrollo de nuevas aplicaciones tecnológicas,5,Innovación,Alto
43,Diseño conceptual,Creación de ideas y conceptos originales,5,Diseño,Alto
44,Arte visual,Expresión creativa a través de medios visuales,5,Arte,Medio
45,Música y composición,Creación y interpretación musical,5,Música,Medio
46,Escritura creativa,Producción de textos literarios originales,5,Literatura,Alto
47,Improvisación,Adaptación creativa en situaciones imprevistas,5,Adaptación,Alto
48,Brainstorming efectivo,Generación colaborativa de ideas,5,Colaboración,Medio
49,Prototipado rápido,Desarrollo ágil de modelos y prototipos,5,Desarrollo,Alto
50,Pensamiento lateral,Enfoque no convencional para resolver problemas,5,Pensamiento,Alto
51,Liderazgo transformacional,Inspiración y motivación de equipos hacia objetivos,6,Liderazgo,Alto
52,Gestión de conflictos,Resolución constructiva de disputas,6,Gestión,Alto
53,Comunicación interpersonal,Interacción efectiva con individuos,6,Comunicación,Alto
54,Trabajo colaborativo,Contribución efectiva en equipos multidisciplinarios,6,Colaboración,Alto
55,Delegación efectiva,Asignación apropiada de responsabilidades,6,Gestión,Alto
