id_programa,nombre_programa,id_area,area_conocimiento_original
1,TÉCNICO LABORAL EN AUXILIAR EN PREESCOLAR,17,No especificada
2,ELEMENTAL A1,28,No especificada
3,CONOCIMIENTOS ACADÉMICOS EN PORTUGUES NIVEL A2,28,No especificada
4,SAGRADAS ESCRITURAS,28,No especificada
5,AUXILIAR en ENFERMERIA,13,SALUD
6,AUXILIAR DE ENFERMERIA,13,SALUD
7,TÉCNICO LABORAL EN COCINA,5,VENTAS Y SERVICIOS
8,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL A1,28,No especificada
9,AUXILIAR EN SALUD ORAL,13,SALUD
10,CONOCIMIENTOS ACADÉMICOS EN PEINADOS,28,No especificada
11,TÉCNICO LABORAL EN AUXILIAR DE DISEÑO GRAFICO,22,VENTAS Y SERVICIOS
12,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
13,ESTUDIOS BIBLICOS AVANZADOS,28,No especificada
14,TÉCNICO LABORAL EN BAR Y MESA,3,VENTAS Y SERVICIOS
15,CONOCIMIENTOS ACADÉMICOS EN  INGLES A1,28,No especificada
16,TÉCNICO LABORAL EN SECRETARIADO GERENCIAL,1,VENTAS Y SERVICIOS
17,TECNICO LABORAL POR COMPETENCIAS EN SECRETARIA DE GERENCIA,1,FINANZAS Y ADMINISTRACIÓN
18,TÉCNICO LABORAL EN ASISTENCIA EN ANÁLISIS Y PRODUCCIÓN DE INFORMACIÓN ADMINISTRATIVA,1,FINANZAS Y ADMINISTRACIÓN
19,CONOCIMIENTOS ACADÉMICOS EN SAXOFÓN,28,No especificada
20,TÉCNICO LABORAL EN MERCADEO Y VENTAS,3,VENTAS Y SERVICIOS
21,TÉCNICO LABORAL EN AUXILIAR EN CUIDADO DE NIÑOS,13,VENTAS Y SERVICIOS
22,CONOCIMIENTOS ACADÉMICOS EN OFIMATICA,28,No especificada
23,TÉCNICO LABORAL EN MERCADEO Y VENTAS,3,VENTAS Y SERVICIOS
24,TECNICO LABORAL POR COMPETENCIAS EN COCINA,5,VENTAS Y SERVICIOS
25,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B1,28,No especificada
26,TÉCNICO LABORAL EN AUXILIAR SISTEMA,3,VENTAS Y SERVICIOS
27,TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,7,VENTAS Y SERVICIOS
28,TÉCNICO LABORAL POR COMPETENCIAS EN SEGURIDAD Y SALUD EN EL TRABAJO,19,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
29,TECNICO LABORAL EN COCINA NACIONAL E INTERNACIONAL,5,VENTAS Y SERVICIOS
30,TÉCNICO LABORAL POR COMPETENCIAS EN PROCESOS TURÍSTICOS Y HOTELEROS,4,VENTAS Y SERVICIOS
31,TÉCNICO LABORAL EN ASISTENCIA ADMINISTRATIVA,1,FINANZAS Y ADMINISTRACIÓN
32,SISTEMAS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
33,TÉCNICO LABORAL EN AGENTE DE TURISMO,4,VENTAS Y SERVICIOS
34,TÉCNICO LABORAL EN AGENTE DE VIAJES Y TURISMO,4,VENTAS Y SERVICIOS
35,CONOCIMIENTOS ACADÉMICOS EN INGLÉS BREAKTHROUGU A1,28,No especificada
36,TÉCNICO LABORAL EN INTERPRETE EN INSTRUMENTOS EN PIANO  O ACORDEÓN PRODUCCIÓN  DE  ESTRUCTURAS AUDIBLES,21,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
37,TÉCNICO LABORAL EN  MANTENIMIENTO DE EQUIPO BIOMEDICO,27,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
38,TÉCNICO LABORAL AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
39,CONTABILIDAD SISTEMATIZADA,2,FINANZAS Y ADMINISTRACIÓN
40,CONOCIMIENTOS ACADÉMICOS EN ACTUALIZACIÓN PEDAGÓGICA PARA FORMADORES EN CONDUCCIÓN,28,No especificada
41,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
42,TÉCNICO LABORAL EN SISTEMAS INFORMATICOS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
43,TÉCNICO LABORAL EN MECANICA CONFECCIÓN Y PATRONAJE,26,VENTAS Y SERVICIOS
44,TÉCNICO LABORAL POR COMPETENCIAS EN AGENTE DE TRÁNSITO,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
45,TÉCNICO LABORAL POR COMPETENCIAS EN AUXILIAR EN GESTIÓN DOCUMENTAL Y ARCHIVISTICA,3,VENTAS Y SERVICIOS
46,TECNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACEUTICOS,7,SALUD
47,TÉCNICO LABORAL EN AUXILIAR DE EDUCACIÓN PARA LA PRIMERA INFANCIA,17,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
48,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
49,"CONOCIMIENTOS ACADEMICOS EN INGLÉS,  B2",28,No especificada
50,TÉCNICO LABORAL EN AUXILIAR DE COCINA NACIONAL E INTERNACIONAL,5,VENTAS Y SERVICIOS
51,TÉCNICO LABORAL EN TURISMO Y MEDIO AMBIENTE,4,VENTAS Y SERVICIOS
52,"CONOCIMIENTOS ACADÉMICOS EN FORMACIÓN  PARA LA INCLUSIÓN SOCIO OCUPACIONAL DE NIÑOS, ADOLESCENTES Y ADULTOS CON  NECESIDADES EDUCATIVAS ESPECIALES",17,No especificada
53,TÉCNICO LABORAL EN DISEÑADORES GRAFICOS Y DIBUJANTES ARTISTICOS,22,VENTAS Y SERVICIOS
54,TÉCNICO LABORAL POR COMPETENCIAS EN ASISTENTE TURÍSTICO,3,VENTAS Y SERVICIOS
55,CONOCIMIENTOS ACADÉMICOS EN INGLES A1,28,No especificada
56,TÉCNICO LABORAL POR COMPETENCIA EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
57,OFIMATICA EMPRESARIAL,1,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
58,TÉCNICO LABORAL EN PELUQUERÍA,3,VENTAS Y SERVICIOS
59,TÉCNICO LABORAL POR COMPETENCIA EN ECOTURISMO Y GUÍA TURISTICO,4,VENTAS Y SERVICIOS
60,TÉCNICO LABORAL POR COMPETENCIAS EN LOGISTICA COMERCIAL,3,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
61,TÉCNICO LABORAL POR COMPETENCIAS EN SISTEMAS,8,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
62,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
63,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
64,CONOCIMIENTOS ACADÉMICOS EN INGLES  NIVEL A1 ELEMENTAL,28,No especificada
