id_programa,nombre_programa
1,ABOGADO
2,ADMINISTARDOR TURISTICO Y HOTELERO
3,ADMINISTRACION AGROPECUARIA
4,ADMINISTRACION COMERCIAL Y DE SERVICIOS
5,ADMINISTRACION DE EMPRESAS
6,ADMINISTRACION DE EMPRESAS MINERAS
7,ADMINISTRACION DE EMPRESAS Y FINANCIERA
8,ADMINISTRACION DE NEGOCIOS E INFORMATICA
9,ADMINISTRACION EMPRESARIAL
10,ADMINISTRACION EMPRESAS AGROINDUSTRIALES
11,ADMINISTRACION EN SALUD CON ENFASIS EN GESTION DE SERVICIOS DE SALUD
12,ADMINISTRACION FINANCIERA
13,ADMINISTRACION HOTELERA Y TURISTICA
14,ADMINISTRACION Y ORGANIZACION DE PROCESOS RECREATIVOS Y TURISTICOS
15,ADMINISTRACIÓN DE REDES Y PROGRAMACIÓN DE COMPUTADORES
16,ADMINISTRADOR
17,ADMINISTRADOR  (A) DE NEGOCIOS INTERNACIONALES
18,ADMINISTRADOR  AMBIENTAL
19,ADMINISTRADOR  DE  EMPRESAS
20,ADMINISTRADOR  DE  MERCADEO Y LOGISTICA INTERNACIONALES
21,ADMINISTRADOR  DE NEGOCIOS INTERNACIONALES
22,ADMINISTRADOR  DEL MEDIO AMBIENTE Y DE LOS RECURSOS NATURALES
23,ADMINISTRADOR  EN  MERCADEO Y LOGISTICA INTERNACIONALES
24,ADMINISTRADOR  INFORMATICO
25,ADMINISTRADOR (A)  FINANCIERO (A)
26,ADMINISTRADOR (A) AMBIENTAL
27,ADMINISTRADOR (A) DE AGRONEGOCIOS
28,ADMINISTRADOR (A) DE EMPRESAS
29,ADMINISTRADOR (A) DE EMPRESAS AGROPECUARIAS
30,ADMINISTRADOR (A) DE EMPRESAS TURISTICAS Y HOTELERAS
31,ADMINISTRADOR (A) DE NEGOCIOS
32,ADMINISTRADOR (A) DE NEGOCIOS INTERNACIONALES
33,ADMINISTRADOR (A) DENEGOCIOS INTERNACIONALES
34,ADMINISTRADOR (A) EN SEGURIDAD Y SALUD EN EL TRABAJO
35,ADMINISTRADOR (A) FINANCIERA
36,ADMINISTRADOR (A) FINANCIERO (A)
37,ADMINISTRADOR AERONAUTICO
38,ADMINISTRADOR AGROINDUSTRIAL
39,ADMINISTRADOR AGROPECUARIO
40,ADMINISTRADOR AMBIENTAL
41,ADMINISTRADOR AMBIENTAL Y DE LOS RECURSOS NATURALES
42,ADMINISTRADOR AMBIENTAL Y SANITARIO
43,ADMINISTRADOR BANCARIO Y FINANCIERO
44,ADMINISTRADOR COMERCIAL
45,ADMINISTRADOR COMERCIAL Y DE MERCADEO
46,ADMINISTRADOR COMERCIAL Y DE SISTEMAS
47,ADMINISTRADOR COMERCIAL Y FINANCIERO
48,ADMINISTRADOR DE  NEGOCIOS INTERNACIONALES
49,ADMINISTRADOR DE AGRONEGOCIOS
50,ADMINISTRADOR DE COMERCIO EXTERIOR
51,ADMINISTRADOR DE CONSTRUCCIONES
52,ADMINISTRADOR DE EMPRESAS
53,ADMINISTRADOR DE EMPRESAS  TURÍSTICAS Y HOTELERAS
54,ADMINISTRADOR DE EMPRESAS AGROINDUSTRIALES
55,ADMINISTRADOR DE EMPRESAS AGROPECUARIAS
56,ADMINISTRADOR DE EMPRESAS COMERCIALES
57,ADMINISTRADOR DE EMPRESAS CON ENFASIS EN FINANZAS
58,ADMINISTRADOR DE EMPRESAS COOPERATIVAS
59,ADMINISTRADOR DE EMPRESAS DE SERVICIOS
60,ADMINISTRADOR DE EMPRESAS DEPORTIVAS
61,ADMINISTRADOR DE EMPRESAS EN TELECOMUNICACIONES
62,ADMINISTRADOR DE EMPRESAS GLOBALES
