matematicas,lectura_critica,ciencias_naturales,sociales_ciudadanas,ingles,dimension_1_logico_matematico,dimension_2_comprension_comunicacion,dimension_3_pensamiento_cientifico,dimension_4_analisis_social_humanistico,dimension_5_creatividad_innovacion,dimension_6_liderazgo_trabajo_equipo,dimension_7_pensamiento_critico,dimension_8_adaptabilidad_aprendizaje,area_conocimiento
172.4,282.6,218.5,246.7,262.4,1.4,4.0,1.0,2.5,3.9,3.1,2.8,2.9,21
166.3,319.4,230.2,277.7,391.9,1.8,4.5,1.7,4.3,1.8,3.4,3.2,2.9,28
381.0,208.4,336.0,287.8,212.4,4.1,3.2,4.5,1.9,1.3,3.5,3.6,3.0,15
218.4,369.9,235.3,280.6,233.9,1.5,5.0,2.2,2.1,4.3,1.9,2.5,2.6,21
401.0,270.1,446.3,233.3,178.0,4.4,2.6,5.0,1.0,1.0,2.3,3.9,4.4,8
386.4,267.4,444.9,244.7,322.0,4.6,3.0,4.5,1.3,1.1,3.4,4.0,3.0,9
318.1,208.4,212.6,198.4,189.2,4.4,2.9,3.0,1.1,1.6,3.9,3.7,4.0,11
230.4,420.7,217.8,443.6,307.2,1.5,4.4,1.1,4.9,2.8,4.2,2.8,3.6,16
343.0,398.5,366.2,361.7,244.0,1.8,3.1,4.6,3.8,3.0,3.3,4.3,3.9,16
434.7,362.7,297.3,231.7,305.6,4.0,3.6,1.9,2.2,1.4,4.0,4.6,2.4,2
184.5,362.9,255.5,334.1,231.8,3.6,4.6,1.6,4.3,1.8,4.5,2.7,2.2,19
236.7,410.5,241.0,265.4,297.2,1.6,4.3,1.0,3.4,5.0,2.4,3.3,2.8,21
414.1,255.5,376.3,180.8,290.8,4.7,3.6,3.7,1.9,1.5,3.0,3.9,3.7,10
181.8,331.0,258.7,245.2,282.8,1.5,4.2,1.4,1.9,4.2,2.8,4.1,2.8,22
364.2,297.5,269.7,299.9,251.0,3.9,2.9,1.3,3.2,1.2,3.6,3.1,3.8,25
239.5,278.7,191.1,257.3,264.5,1.2,3.2,2.2,2.5,4.2,2.2,4.2,2.0,20
217.1,303.4,228.0,260.0,245.0,2.9,2.5,2.7,3.1,3.6,3.1,3.6,2.7,3
351.4,370.9,382.1,263.5,285.2,2.6,4.7,4.9,1.7,2.2,4.6,4.9,5.0,9
275.7,327.2,246.0,362.7,286.4,3.1,4.5,1.8,4.9,1.3,4.7,3.3,2.0,19
335.8,281.0,254.0,227.2,150.0,5.0,2.5,1.1,1.2,1.9,4.6,3.9,3.1,2
225.9,425.0,166.9,363.7,275.8,1.9,5.0,1.6,4.8,4.7,2.7,1.8,4.2,17
150.0,429.8,213.3,417.0,240.1,1.8,4.2,1.0,3.4,3.0,2.8,4.4,3.8,18
202.0,416.3,275.9,300.5,202.0,1.0,4.5,1.3,3.0,5.0,2.8,3.9,2.5,22
277.3,382.2,266.8,345.6,321.1,1.3,3.2,2.7,2.9,4.0,3.1,4.1,2.7,20
385.7,355.1,403.3,257.2,262.7,2.6,4.3,1.2,1.0,4.7,2.6,4.6,4.2,8
261.8,230.7,427.5,363.8,230.9,1.3,2.8,4.4,5.0,1.5,2.9,3.9,4.8,24
268.6,411.2,191.2,399.9,293.1,1.5,3.7,2.0,4.0,2.5,5.0,2.0,4.4,16
338.3,217.8,367.5,238.6,242.3,3.9,2.5,3.9,1.9,1.6,2.8,3.7,3.0,9
288.5,392.0,252.5,388.9,234.4,3.4,4.8,1.0,3.6,1.6,4.0,3.3,2.8,19
349.3,257.2,386.1,222.4,301.1,4.4,2.5,4.2,2.2,1.9,3.1,2.8,4.6,23
211.4,422.3,208.4,377.3,150.0,2.3,4.5,1.8,3.4,3.1,2.7,4.4,4.2,18
366.8,267.2,425.8,271.5,258.8,4.3,2.2,3.8,2.0,1.8,2.0,4.8,3.4,15
333.6,163.2,213.7,213.2,258.8,3.9,2.9,3.7,1.9,2.0,2.1,2.9,3.7,27
384.3,268.3,418.5,308.2,284.2,4.4,3.2,4.0,1.6,2.2,4.0,3.5,3.0,26
334.6,324.2,417.9,234.5,241.5,4.6,2.8,4.1,1.4,1.4,1.5,4.1,2.3,15
213.3,349.7,390.8,307.1,234.4,1.4,3.8,3.9,4.1,1.0,2.5,2.7,4.3,14
191.2,293.2,297.7,248.0,280.2,1.2,4.0,1.5,2.3,4.3,2.3,3.9,2.7,20
416.5,180.6,384.4,249.6,199.7,5.0,2.3,3.3,1.5,2.1,2.0,3.6,2.0,12
400.6,336.3,186.6,232.2,275.9,4.4,4.1,1.4,3.7,3.5,2.8,3.5,4.2,20
339.1,267.4,382.6,266.6,283.3,4.5,2.4,5.0,1.2,1.3,2.9,3.7,2.8,9
162.8,348.4,262.8,329.8,274.7,1.6,3.5,1.7,4.2,4.5,2.7,3.2,3.9,17
302.3,369.8,297.9,355.8,236.3,1.7,2.7,3.5,2.6,4.1,2.6,4.1,2.0,24
360.8,311.6,410.7,246.1,320.8,4.6,2.5,4.3,1.3,1.0,2.9,3.9,2.7,15
370.6,232.5,323.3,313.5,301.6,2.5,1.8,2.2,2.8,1.8,3.4,4.2,4.2,1
230.9,243.7,258.5,286.2,286.8,1.9,2.3,3.6,2.5,2.4,2.6,2.1,2.4,7
276.2,361.5,275.8,354.6,305.7,2.1,4.5,1.5,4.2,4.3,3.3,2.8,4.2,17
357.2,224.8,397.5,243.6,216.1,3.5,3.2,3.8,1.8,1.3,2.7,3.8,4.2,8
348.0,388.5,157.0,321.7,282.3,2.6,4.0,2.0,2.0,2.2,4.1,3.8,2.4,29
209.3,383.5,264.7,240.3,300.1,1.0,3.9,1.3,2.4,3.7,2.7,3.0,3.2,21
428.1,241.1,196.2,371.1,200.8,4.0,2.5,1.3,3.5,2.3,3.8,3.7,3.7,1
211.6,386.3,234.0,358.8,309.5,1.5,3.8,1.6,4.2,4.5,3.0,3.0,5.0,17
360.5,251.9,393.9,205.1,287.4,4.2,2.5,4.3,1.9,1.3,2.2,3.6,4.5,8
198.0,337.1,202.0,381.1,263.2,1.3,4.6,1.8,4.1,2.2,4.5,2.7,3.9,16
277.0,288.7,164.7,233.4,265.5,2.3,2.6,2.7,2.3,2.7,2.2,2.5,3.2,6
388.5,343.4,268.6,388.3,267.4,1.5,3.9,4.1,3.7,2.4,3.6,2.8,4.5,27
207.1,373.8,186.9,406.2,322.3,2.1,3.9,1.1,4.4,2.9,2.7,3.5,4.3,18
232.2,224.6,229.6,256.9,263.1,3.1,2.6,2.9,3.0,3.1,2.6,1.8,1.7,4
396.8,300.4,382.5,210.2,287.2,3.9,2.9,4.1,1.8,1.0,3.2,1.6,4.2,26
338.8,305.2,197.2,255.6,249.1,4.2,2.5,1.6,2.3,1.6,4.3,3.1,4.1,25
204.7,386.2,249.4,305.5,256.4,2.7,4.4,1.1,4.7,1.4,4.5,2.9,2.9,19
400.3,220.2,340.0,216.4,183.9,2.8,3.0,3.6,1.0,1.9,3.1,4.5,4.2,15
357.4,387.1,279.1,284.6,303.0,4.8,4.7,4.6,4.4,1.3,3.3,4.0,2.2,27
383.4,270.1,426.3,237.3,216.5,4.1,2.3,4.0,1.5,1.7,3.0,4.2,2.9,26
409.6,313.0,386.1,243.8,314.3,3.8,2.4,4.0,1.6,1.0,2.8,2.6,3.6,23
339.4,200.0,381.2,249.0,210.7,4.1,2.8,3.8,1.5,2.6,2.6,2.9,4.2,26
302.5,302.6,210.8,185.1,186.6,3.8,2.9,2.6,1.6,1.6,5.0,3.9,2.4,30
408.3,257.4,253.6,213.4,307.1,4.3,2.9,2.8,2.7,1.9,4.5,3.9,2.7,30
200.9,354.0,203.2,235.0,235.5,1.1,4.0,1.2,3.2,3.9,3.3,3.8,3.5,22
335.1,254.9,377.1,202.5,301.3,4.2,2.3,4.1,2.2,2.3,2.4,3.8,2.4,10
441.0,247.3,373.5,201.5,205.8,4.9,2.7,4.4,1.9,1.4,2.8,4.6,2.7,12
183.6,365.8,299.8,274.9,245.4,2.1,4.0,4.5,2.5,2.0,3.8,3.0,4.1,13
241.8,352.8,291.1,462.0,284.5,1.9,3.5,1.5,4.0,2.8,3.4,2.2,5.0,16
299.5,337.7,241.7,264.1,325.6,1.9,4.1,1.4,3.5,1.4,2.4,3.1,2.3,28
191.0,379.4,178.6,387.7,257.4,1.0,4.1,1.3,4.4,4.4,2.4,2.8,4.3,17
349.3,202.1,236.5,211.1,267.1,4.6,2.6,3.0,2.1,1.9,4.0,3.3,4.1,11
289.9,330.6,255.5,391.2,197.5,1.9,4.9,1.8,4.0,2.5,4.1,3.6,4.5,16
231.9,387.4,295.9,416.0,244.0,2.8,4.5,1.5,4.6,1.6,4.2,2.5,3.0,19
206.2,347.0,184.5,412.4,233.7,2.6,4.4,1.8,4.7,1.5,4.4,2.3,2.0,19
372.2,251.8,354.0,233.0,270.7,4.1,2.6,4.6,1.4,2.3,3.2,4.2,3.6,15
232.8,344.8,278.4,253.4,381.3,1.4,4.2,1.8,3.9,1.8,3.2,2.3,2.5,28
372.5,226.0,263.8,254.3,184.4,3.9,2.6,4.0,1.0,1.2,3.4,2.8,5.0,27
